t,predict_ms,update_ms
64.966000,20.00,178.91
65.063000,20.00,199.87
65.075000,12.00,171.97
65.167000,20.00,194.51
65.260000,20.00,193.92
65.267000,7.00,195.89
65.293000,20.00,193.80
65.366000,20.00,203.78
65.367000,1.00,197.76
65.467000,20.00,198.44
65.484000,17.00,210.49
65.565000,20.00,207.05
65.571000,6.00,216.65
65.664000,20.00,189.43
65.741000,20.00,197.78
65.792000,20.00,205.36
65.868000,20.00,188.82
65.962000,20.00,181.78
66.063000,20.00,180.44
66.108000,20.00,189.09
66.166000,20.00,187.43
66.267000,20.00,182.23
66.340000,20.00,198.01
66.368000,20.00,229.65
66.381000,13.00,186.29
66.467000,20.00,193.31
66.568000,20.00,198.42
66.569000,1.00,202.50
66.666000,20.00,206.44
66.690000,20.00,196.14
66.766000,20.00,203.56
66.851000,20.00,188.56
66.890000,20.00,191.66
66.967000,20.00,191.57
67.066000,20.00,187.64
67.083000,17.00,186.03
67.167000,20.00,188.65
67.268000,20.00,202.13
67.269000,1.00,194.36
67.367000,20.00,201.02
67.368000,1.00,202.80
67.440000,20.00,194.30
67.469000,20.00,208.14
67.565000,20.00,201.73
67.627000,20.00,196.78
67.667000,20.00,193.32
67.760000,20.00,183.63
67.800000,20.00,182.47
67.868000,20.00,212.39
67.969000,20.00,189.34
68.026000,20.00,201.48
68.076000,20.00,177.49
68.165000,20.00,190.36
68.245000,20.00,195.59
68.268000,20.00,197.08
68.369000,20.00,213.03
68.382000,13.00,201.20
68.464000,20.00,192.63
68.527000,20.00,195.09
68.569000,20.00,203.32
68.570000,1.00,195.72
68.667000,20.00,210.55
68.728000,20.00,189.02
68.765000,20.00,181.24
68.864000,20.00,194.72
68.951000,20.00,181.70
68.974000,20.00,187.52
69.065000,20.00,190.15
69.161000,20.00,217.76
69.165000,4.00,199.50
69.236000,20.00,217.12
69.269000,20.00,185.56
69.361000,20.00,208.65
69.389000,20.00,209.27
69.471000,20.00,200.40
69.568000,20.00,194.60
69.569000,1.00,190.22
69.624000,20.00,196.73
69.665000,20.00,195.34
69.764000,20.00,192.17
69.842000,20.00,175.01
69.885000,20.00,198.67
69.968000,20.00,188.90
70.065000,20.00,177.91
70.127000,20.00,188.36
70.176000,20.00,194.91
70.267000,20.00,188.74
70.326000,20.00,196.57
70.371000,20.00,194.09
70.372000,1.00,191.49
70.465000,20.00,181.28
70.514000,20.00,220.09
70.569000,20.00,199.19
70.669000,20.00,206.02
70.670000,1.00,186.88
70.709000,20.00,192.80
70.773000,20.00,182.62
70.865000,20.00,206.29
70.964000,20.00,171.05
71.023000,20.00,180.16
71.077000,20.00,194.37
71.168000,20.00,212.96
71.270000,20.00,176.55
71.271000,1.00,207.82
71.369000,20.00,196.59
71.380000,11.00,190.21
71.466000,20.00,187.92
71.543000,20.00,220.29
71.569000,20.00,199.62
71.651000,20.00,204.57
71.668000,17.00,206.33
71.765000,20.00,179.50
71.857000,20.00,203.29
71.894000,20.00,193.16
71.965000,20.00,189.27
72.065000,20.00,208.74
72.125000,20.00,182.86
72.169000,20.00,222.60
72.267000,20.00,197.00
72.268000,1.00,194.29
72.337000,20.00,201.20
72.371000,20.00,211.01
72.462000,20.00,193.28
72.468000,6.00,213.10
72.567000,20.00,200.65
72.569000,2.00,193.64
72.667000,20.00,193.60
72.769000,20.00,193.10
72.821000,20.00,186.25
72.867000,20.00,185.66
72.966000,20.00,199.90
73.067000,20.00,198.76
73.068000,1.00,194.04
73.096000,20.00,196.52
73.167000,20.00,180.58
73.213000,20.00,205.16
73.269000,20.00,187.66
73.270000,1.00,203.83
73.369000,20.00,198.52
73.370000,1.00,201.60
73.440000,20.00,188.61
73.465000,20.00,207.68
73.569000,20.00,171.79
73.643000,20.00,179.40
73.668000,20.00,207.39
73.768000,20.00,188.47
73.863000,20.00,196.86
73.868000,5.00,189.22
73.963000,20.00,184.54
74.029000,20.00,192.65
74.089000,20.00,205.26
74.168000,20.00,210.46
74.266000,20.00,234.13
74.339000,20.00,179.01
74.377000,20.00,199.79
74.465000,20.00,199.05
74.567000,20.00,184.51
74.568000,1.00,191.83
74.665000,20.00,188.40
74.666000,1.00,188.51
74.687000,20.00,203.23
74.766000,20.00,220.99
74.772000,6.00,203.17
74.870000,20.00,204.27
74.871000,1.00,195.00
74.935000,20.00,187.76
74.965000,20.00,185.73
75.069000,20.00,182.96
75.143000,20.00,194.73
75.178000,20.00,191.11
75.269000,20.00,189.51
75.364000,20.00,207.97
75.412000,20.00,193.20
75.465000,20.00,184.86
75.566000,20.00,199.95
75.648000,20.00,203.36
75.679000,20.00,194.68
75.770000,20.00,201.89
75.864000,20.00,198.82
75.891000,20.00,197.65
75.968000,20.00,211.38
76.067000,20.00,184.24
76.127000,20.00,190.01
76.184000,20.00,192.13
76.269000,20.00,211.69
76.371000,20.00,233.81
76.372000,1.00,218.12
76.426000,20.00,187.77
76.468000,20.00,205.29
76.469000,1.00,231.49
76.566000,20.00,234.13
76.567000,1.00,224.17
76.669000,20.00,204.96
76.686000,17.00,190.11
76.770000,20.00,198.50
76.866000,20.00,189.67
76.951000,20.00,182.05
76.990000,20.00,218.17
77.075000,20.00,249.88
77.076000,1.00,192.07
77.167000,20.00,174.34
77.203000,20.00,196.04
77.271000,20.00,188.55
77.365000,20.00,193.65
77.433000,20.00,189.73
77.499000,20.00,240.43
77.574000,20.00,215.07
77.575000,1.00,223.81
77.612000,20.00,214.20
77.672000,20.00,212.20
77.701000,20.00,197.01
77.771000,20.00,194.42
77.772000,1.00,191.18
77.844000,20.00,205.64
