frame,t,n_obs,n_cands_total,ordering_ms,jcbb_ms
571,498.744000,8,8,5,6
572,498.754000,8,8,4,7
573,498.764000,8,8,4,9
574,498.774000,8,8,3,7
575,498.784000,8,8,4,6
576,498.794000,8,8,3,6
577,498.804000,8,8,3,6
578,498.814000,8,8,5,2
579,498.824000,8,8,4,11
580,498.834000,8,8,5,8
581,498.844000,8,8,6,13
582,498.854000,8,8,5,8
583,498.864000,8,8,5,6
584,498.874000,8,8,12,6
585,498.884000,8,8,4,6
586,498.894000,8,8,5,17
587,498.904000,8,8,4,5
588,498.914000,8,8,4,2
589,498.924000,8,8,4,0
590,498.934000,10,10,4,42
591,498.944000,10,10,6,30
592,498.954000,10,10,7,36
593,498.964000,10,10,6,33
594,498.974000,10,10,6,33
595,498.984000,10,10,4,35
596,498.994000,10,10,5,39
597,499.004000,10,10,4,39
598,499.014000,10,10,6,12
599,499.024000,10,10,6,3
600,499.034000,10,10,4,1
601,499.044000,10,0,7,0
602,499.054000,10,10,5,1
603,499.064000,10,10,4,1
604,499.074000,10,10,4,1
605,499.084000,10,0,7,0
606,499.094000,10,0,4,0
607,499.104000,10,0,8,0
608,499.114000,10,0,7,0
609,499.124000,10,10,5,35
610,499.134000,10,10,7,33
611,499.144000,10,10,7,38
612,499.154000,10,10,6,37
613,499.164000,10,10,5,40
614,499.174000,10,10,5,37
615,499.184000,10,10,5,32
616,499.194000,10,10,4,38
617,499.204000,10,10,5,37
618,499.214000,10,10,8,35
619,499.224000,10,10,4,36
620,499.234000,10,10,6,28
621,499.244000,10,10,4,42
622,499.254000,10,10,6,42
623,499.264000,10,0,7,0
624,499.274000,10,0,4,0
625,499.284000,10,10,14,1
626,499.294000,10,10,9,2
627,499.304000,10,10,6,7
628,499.314000,10,10,6,34
629,499.324000,10,10,5,36
630,499.334000,10,10,5,35
631,499.344000,10,10,4,40
632,499.354000,10,10,6,33
633,499.364000,10,10,6,38
634,499.374000,10,10,5,1
635,499.384000,10,10,5,3
636,499.394000,10,10,5,13
637,499.404000,10,10,6,39
638,499.414000,10,10,7,33
639,499.424000,10,10,6,39
640,499.434000,10,10,6,37
641,499.444000,10,10,8,40
642,499.454000,10,10,10,36
643,499.464000,10,10,6,30
644,499.474000,10,10,6,1
645,499.484000,10,10,6,0
646,499.494000,10,10,5,12
647,499.504000,10,10,5,34
648,499.514000,8,8,7,7
649,499.524000,8,8,4,7
650,499.534000,8,8,5,7
651,499.544000,8,8,3,6
652,499.554000,8,8,5,7
653,499.564000,8,8,7,7
654,499.574000,8,8,6,8
655,499.584000,8,8,5,5
656,499.594000,8,8,7,8
657,499.604000,8,8,6,6
658,499.614000,8,8,5,10
659,499.624000,8,8,5,10
660,499.634000,8,8,5,6
661,499.644000,8,8,4,5
