t,x,y,yaw
102.571000,34.617,-16.366,-1.07731
102.573000,34.617,-16.366,-1.07731
102.574000,34.617,-16.366,-1.07731
102.575000,34.617,-16.366,-1.07731
102.576000,34.617,-16.366,-1.07731
102.577000,34.617,-16.366,-1.07731
102.578000,34.617,-16.366,-1.07731
102.579000,34.617,-16.366,-1.07731
102.580000,34.617,-16.366,-1.07731
102.581000,34.617,-16.366,-1.07731
102.582000,34.617,-16.366,-1.07731
102.583000,34.617,-16.366,-1.07731
102.584000,34.617,-16.366,-1.07731
102.585000,34.617,-16.366,-1.07731
102.586000,34.617,-16.366,-1.07731
102.588000,34.617,-16.366,-1.07731
102.590000,34.617,-16.366,-1.07731
102.591000,34.617,-16.366,-1.07731
102.593000,34.617,-16.366,-1.07731
102.594000,34.617,-16.366,-1.07731
102.596000,34.617,-16.366,-1.07731
102.597000,34.617,-16.366,-1.07731
102.598000,34.617,-16.366,-1.07731
102.599000,34.617,-16.366,-1.07731
102.600000,34.617,-16.366,-1.07731
102.601000,34.617,-16.366,-1.07731
102.602000,34.617,-16.366,-1.07731
102.603000,34.617,-16.366,-1.07731
102.604000,34.617,-16.366,-1.07731
102.605000,34.617,-16.366,-1.07731
102.606000,34.617,-16.366,-1.07731
102.607000,34.617,-16.366,-1.07731
102.608000,34.617,-16.366,-1.07731
102.609000,34.617,-16.366,-1.07731
102.610000,34.617,-16.366,-1.07731
102.611000,34.617,-16.366,-1.07731
102.612000,34.617,-16.366,-1.07731
102.613000,34.617,-16.366,-1.07731
102.614000,34.617,-16.366,-1.07731
102.615000,34.617,-16.366,-1.07731
102.616000,34.617,-16.366,-1.07731
102.617000,34.617,-16.366,-1.07731
102.618000,34.617,-16.366,-1.07731
102.619000,34.617,-16.366,-1.07731
102.620000,34.617,-16.366,-1.07731
102.621000,34.617,-16.366,-1.07731
102.622000,34.617,-16.366,-1.07731
102.624000,34.617,-16.366,-1.07731
102.626000,34.617,-16.366,-1.07731
102.627000,34.617,-16.366,-1.07731
102.628000,34.617,-16.366,-1.07731
102.629000,34.617,-16.366,-1.07731
102.630000,34.617,-16.366,-1.07731
102.631000,34.617,-16.366,-1.07731
102.632000,34.617,-16.366,-1.07731
102.633000,34.617,-16.366,-1.07731
102.634000,34.617,-16.366,-1.07731
102.635000,34.617,-16.366,-1.07731
102.636000,34.617,-16.366,-1.07731
102.637000,34.617,-16.366,-1.07731
102.638000,34.617,-16.366,-1.07731
102.639000,34.617,-16.366,-1.07731
102.640000,34.617,-16.366,-1.07731
102.641000,34.617,-16.366,-1.07731
102.642000,34.617,-16.366,-1.07731
102.643000,34.617,-16.366,-1.07731
102.644000,34.617,-16.366,-1.07731
102.645000,34.617,-16.366,-1.07731
102.646000,34.617,-16.366,-1.07731
102.647000,34.617,-16.366,-1.07731
102.648000,34.617,-16.366,-1.07731
102.649000,34.617,-16.366,-1.07731
102.650000,34.617,-16.366,-1.07731
102.651000,34.617,-16.366,-1.07731
102.652000,34.617,-16.366,-1.07731
102.653000,34.617,-16.366,-1.07731
102.654000,34.617,-16.366,-1.07731
102.655000,34.617,-16.366,-1.07731
102.656000,34.617,-16.366,-1.07731
102.657000,34.617,-16.366,-1.07731
102.658000,34.617,-16.366,-1.07731
102.659000,34.617,-16.366,-1.07731
102.660000,34.617,-16.366,-1.07731
102.661000,34.617,-16.366,-1.07731
102.662000,34.617,-16.366,-1.07731
102.663000,34.617,-16.366,-1.07731
102.664000,34.617,-16.366,-1.07731
102.665000,34.617,-16.366,-1.07731
102.666000,34.617,-16.366,-1.07731
102.667000,34.617,-16.366,-1.07731
102.668000,34.617,-16.366,-1.07731
102.669000,34.617,-16.366,-1.07731
102.670000,34.617,-16.366,-1.07731
102.671000,34.617,-16.366,-1.07731
102.672000,34.617,-16.366,-1.07731
102.673000,34.617,-16.366,-1.07731
102.674000,34.617,-16.366,-1.07731
102.675000,34.617,-16.366,-1.07731
102.676000,34.617,-16.366,-1.07731
102.677000,34.617,-16.366,-1.07731
102.678000,34.617,-16.366,-1.07731
102.679000,34.617,-16.366,-1.07731
102.680000,34.617,-16.366,-1.07731
102.681000,34.617,-16.366,-1.07731
102.683000,34.617,-16.366,-1.07731
102.684000,34.617,-16.366,-1.07731
102.685000,34.617,-16.366,-1.07731
102.686000,34.617,-16.366,-1.07731
102.687000,34.617,-16.366,-1.07731
102.688000,34.617,-16.366,-1.07731
102.689000,34.617,-16.366,-1.07731
102.690000,34.617,-16.366,-1.07731
102.691000,34.617,-16.366,-1.07731
102.693000,34.617,-16.366,-1.07731
102.694000,34.617,-16.366,-1.07731
102.696000,34.617,-16.366,-1.07731
102.697000,34.617,-16.366,-1.07731
102.698000,34.617,-16.366,-1.07731
102.699000,34.617,-16.366,-1.07731
102.700000,34.617,-16.366,-1.07731
102.701000,34.617,-16.366,-1.07731
102.702000,34.617,-16.366,-1.07731
102.703000,34.617,-16.366,-1.07731
102.704000,34.617,-16.366,-1.07731
102.705000,34.617,-16.366,-1.07731
102.706000,34.617,-16.366,-1.07731
102.707000,34.617,-16.366,-1.07731
102.708000,34.617,-16.366,-1.07731
102.709000,34.617,-16.366,-1.07731
102.710000,34.617,-16.366,-1.07731
102.711000,34.617,-16.366,-1.07731
102.712000,34.617,-16.366,-1.07731
102.713000,34.617,-16.366,-1.07731
102.714000,34.617,-16.366,-1.07731
102.715000,34.617,-16.366,-1.07731
102.716000,34.617,-16.366,-1.07731
102.717000,34.617,-16.366,-1.07731
102.718000,34.617,-16.366,-1.07731
102.719000,34.617,-16.366,-1.07731
102.720000,34.617,-16.366,-1.07731
102.721000,34.617,-16.366,-1.07731
102.722000,34.617,-16.366,-1.07731
102.723000,34.617,-16.366,-1.07731
102.724000,34.617,-16.366,-1.07731
102.726000,34.617,-16.366,-1.07731
102.727000,34.617,-16.366,-1.07731
102.728000,34.617,-16.366,-1.07731
102.729000,34.617,-16.366,-1.07731
102.730000,34.617,-16.366,-1.07731
102.731000,34.617,-16.366,-1.07731
102.732000,34.617,-16.366,-1.07731
102.733000,34.617,-16.366,-1.07731
102.734000,34.617,-16.366,-1.07731
102.735000,34.617,-16.366,-1.07731
102.736000,34.617,-16.366,-1.07731
102.737000,34.617,-16.366,-1.07731
102.738000,34.617,-16.366,-1.07731
102.739000,34.617,-16.366,-1.07731
102.740000,34.617,-16.366,-1.07731
102.741000,34.617,-16.366,-1.07731
102.742000,34.617,-16.366,-1.07731
102.743000,34.617,-16.366,-1.07731
102.744000,34.617,-16.366,-1.07731
102.746000,34.617,-16.366,-1.07731
102.747000,34.617,-16.366,-1.07731
102.748000,34.617,-16.366,-1.07731
102.749000,34.617,-16.366,-1.07731
102.750000,34.617,-16.366,-1.07731
102.751000,34.617,-16.366,-1.07731
102.752000,34.617,-16.366,-1.07731
102.753000,34.617,-16.366,-1.07731
102.754000,34.617,-16.366,-1.07731
102.755000,34.617,-16.366,-1.07731
102.756000,34.617,-16.366,-1.07731
102.757000,34.617,-16.366,-1.07731
102.758000,34.617,-16.366,-1.07731
102.759000,34.617,-16.366,-1.07731
102.760000,34.617,-16.366,-1.07731
102.761000,34.617,-16.366,-1.07731
102.762000,34.617,-16.366,-1.07731
102.763000,34.617,-16.366,-1.07731
102.764000,34.617,-16.366,-1.07731
102.765000,34.617,-16.366,-1.07731
102.766000,34.617,-16.366,-1.07731
102.767000,34.617,-16.366,-1.07731
102.768000,34.617,-16.366,-1.07731
102.770000,34.617,-16.366,-1.07731
102.771000,34.617,-16.366,-1.07731
102.772000,34.617,-16.366,-1.07731
102.773000,34.617,-16.366,-1.07731
102.774000,34.617,-16.366,-1.07731
102.775000,34.617,-16.366,-1.07731
102.776000,34.617,-16.366,-1.07731
102.777000,34.617,-16.366,-1.07731
102.778000,34.617,-16.366,-1.07731
102.779000,34.617,-16.366,-1.07731
102.780000,34.617,-16.366,-1.07731
102.781000,34.617,-16.366,-1.07731
102.782000,34.617,-16.366,-1.07731
102.783000,34.617,-16.366,-1.07731
102.784000,34.617,-16.366,-1.07731
102.786000,34.617,-16.366,-1.07731
102.787000,34.617,-16.366,-1.07731
102.788000,34.617,-16.366,-1.07731
102.789000,34.617,-16.366,-1.07731
102.790000,34.617,-16.366,-1.07731
102.791000,34.617,-16.366,-1.07731
102.792000,34.617,-16.366,-1.07731
102.793000,34.617,-16.366,-1.07731
102.794000,34.617,-16.366,-1.07731
102.795000,34.617,-16.366,-1.07731
102.796000,34.617,-16.366,-1.07731
102.797000,34.617,-16.366,-1.07731
102.798000,34.617,-16.366,-1.07731
102.799000,34.617,-16.366,-1.07731
102.800000,34.617,-16.366,-1.07731
102.801000,34.617,-16.366,-1.07731
102.802000,34.617,-16.366,-1.07731
102.803000,34.617,-16.366,-1.07731
102.804000,34.617,-16.366,-1.07731
102.805000,34.617,-16.366,-1.07731
102.806000,34.617,-16.366,-1.07731
102.807000,34.617,-16.366,-1.07731
102.808000,34.617,-16.366,-1.07731
102.809000,34.617,-16.366,-1.07731
102.810000,34.617,-16.366,-1.07731
102.811000,34.617,-16.366,-1.07731
102.812000,34.617,-16.366,-1.07731
102.813000,34.617,-16.366,-1.07731
102.814000,34.617,-16.366,-1.07731
102.815000,34.617,-16.366,-1.07731
102.816000,34.617,-16.366,-1.07731
102.817000,34.617,-16.366,-1.07731
102.818000,34.617,-16.366,-1.07731
102.819000,34.617,-16.366,-1.07731
102.820000,34.617,-16.366,-1.07731
102.821000,34.617,-16.366,-1.07731
102.822000,34.617,-16.366,-1.07731
102.823000,34.617,-16.366,-1.07731
102.825000,34.617,-16.366,-1.07731
102.826000,34.617,-16.366,-1.07731
102.827000,34.617,-16.366,-1.07731
102.828000,34.617,-16.366,-1.07731
102.829000,34.617,-16.366,-1.07731
102.830000,34.617,-16.366,-1.07731
102.831000,34.617,-16.366,-1.07731
102.832000,34.617,-16.366,-1.07731
102.833000,34.617,-16.366,-1.07731
102.834000,34.617,-16.366,-1.07731
102.835000,34.617,-16.366,-1.07731
102.836000,34.617,-16.366,-1.07731
102.837000,34.617,-16.366,-1.07731
