t,matches,dropped,mean_mahal,p95_mahal,match_frac,N
96.834000,0,0,0.000,0.000,0.00,300
96.835000,0,0,0.000,0.000,0.00,300
96.836000,0,0,0.000,0.000,0.00,300
96.837000,0,0,0.000,0.000,0.00,300
96.838000,0,0,0.000,0.000,0.00,300
96.839000,0,0,0.000,0.000,0.00,300
96.840000,0,0,0.000,0.000,0.00,300
96.841000,0,0,0.000,0.000,0.00,300
96.842000,0,0,0.000,0.000,0.00,300
96.843000,0,0,0.000,0.000,0.00,300
96.844000,0,0,0.000,0.000,0.00,300
96.845000,0,0,0.000,0.000,0.00,300
96.846000,0,0,0.000,0.000,0.00,300
96.847000,0,0,0.000,0.000,0.00,300
96.848000,0,0,0.000,0.000,0.00,300
96.849000,0,0,0.000,0.000,0.00,300
96.850000,0,0,0.000,0.000,0.00,300
96.851000,0,0,0.000,0.000,0.00,300
96.853000,0,0,0.000,0.000,0.00,300
96.854000,0,0,0.000,0.000,0.00,300
96.855000,0,0,0.000,0.000,0.00,300
96.856000,0,0,0.000,0.000,0.00,300
96.857000,0,0,0.000,0.000,0.00,300
96.858000,0,0,0.000,0.000,0.00,300
96.859000,0,0,0.000,0.000,0.00,300
96.860000,0,0,0.000,0.000,0.00,300
96.861000,0,0,0.000,0.000,0.00,300
96.862000,0,0,0.000,0.000,0.00,300
96.863000,0,0,0.000,0.000,0.00,300
96.864000,0,0,0.000,0.000,0.00,300
96.865000,0,0,0.000,0.000,0.00,300
96.866000,0,0,0.000,0.000,0.00,300
96.867000,0,0,0.000,0.000,0.00,300
96.868000,0,0,0.000,0.000,0.00,300
96.869000,0,0,0.000,0.000,0.00,300
96.870000,0,0,0.000,0.000,0.00,300
96.871000,0,0,0.000,0.000,0.00,300
96.872000,0,0,0.000,0.000,0.00,300
96.873000,0,0,0.000,0.000,0.00,300
96.874000,0,0,0.000,0.000,0.00,300
96.875000,0,0,0.000,0.000,0.00,300
96.876000,0,0,0.000,0.000,0.00,300
96.878000,0,0,0.000,0.000,0.00,300
96.879000,0,0,0.000,0.000,0.00,300
96.880000,0,0,0.000,0.000,0.00,300
96.881000,0,0,0.000,0.000,0.00,300
96.883000,0,0,0.000,0.000,0.00,300
96.884000,0,0,0.000,0.000,0.00,300
96.885000,0,0,0.000,0.000,0.00,300
96.886000,0,0,0.000,0.000,0.00,300
96.888000,0,0,0.000,0.000,0.00,300
96.889000,0,0,0.000,0.000,0.00,300
96.890000,0,0,0.000,0.000,0.00,300
96.891000,0,0,0.000,0.000,0.00,300
96.892000,0,0,0.000,0.000,0.00,300
96.894000,0,0,0.000,0.000,0.00,300
96.895000,0,0,0.000,0.000,0.00,300
96.896000,0,0,0.000,0.000,0.00,300
96.897000,0,0,0.000,0.000,0.00,300
96.898000,0,0,0.000,0.000,0.00,300
96.899000,0,0,0.000,0.000,0.00,300
96.900000,0,0,0.000,0.000,0.00,300
96.901000,0,0,0.000,0.000,0.00,300
96.902000,0,0,0.000,0.000,0.00,300
96.903000,0,0,0.000,0.000,0.00,300
96.904000,0,0,0.000,0.000,0.00,300
96.905000,0,0,0.000,0.000,0.00,300
96.906000,0,0,0.000,0.000,0.00,300
96.907000,0,0,0.000,0.000,0.00,300
96.908000,0,0,0.000,0.000,0.00,300
96.909000,0,0,0.000,0.000,0.00,300
96.910000,0,0,0.000,0.000,0.00,300
96.911000,0,0,0.000,0.000,0.00,300
96.912000,0,0,0.000,0.000,0.00,300
96.913000,0,0,0.000,0.000,0.00,300
96.914000,0,0,0.000,0.000,0.00,300
96.915000,0,0,0.000,0.000,0.00,300
96.916000,0,0,0.000,0.000,0.00,300
96.917000,0,0,0.000,0.000,0.00,300
96.918000,0,0,0.000,0.000,0.00,300
96.919000,0,0,0.000,0.000,0.00,300
96.920000,0,0,0.000,0.000,0.00,300
96.921000,0,0,0.000,0.000,0.00,300
96.922000,0,0,0.000,0.000,0.00,300
96.923000,0,0,0.000,0.000,0.00,300
96.924000,0,0,0.000,0.000,0.00,300
96.925000,0,0,0.000,0.000,0.00,300
96.926000,0,0,0.000,0.000,0.00,300
96.927000,0,0,0.000,0.000,0.00,300
96.928000,0,0,0.000,0.000,0.00,300
96.929000,0,0,0.000,0.000,0.00,300
96.930000,0,0,0.000,0.000,0.00,300
96.931000,0,0,0.000,0.000,0.00,300
96.932000,0,0,0.000,0.000,0.00,300
96.933000,0,0,0.000,0.000,0.00,300
96.934000,0,0,0.000,0.000,0.00,300
96.935000,0,0,0.000,0.000,0.00,300
96.936000,0,0,0.000,0.000,0.00,300
96.937000,0,0,0.000,0.000,0.00,300
96.938000,0,0,0.000,0.000,0.00,300
96.939000,0,0,0.000,0.000,0.00,300
96.940000,0,0,0.000,0.000,0.00,300
96.941000,0,0,0.000,0.000,0.00,300
96.942000,0,0,0.000,0.000,0.00,300
96.943000,0,0,0.000,0.000,0.00,300
96.944000,0,0,0.000,0.000,0.00,300
96.945000,0,0,0.000,0.000,0.00,300
96.946000,0,0,0.000,0.000,0.00,300
96.947000,0,0,0.000,0.000,0.00,300
96.948000,0,0,0.000,0.000,0.00,300
96.949000,0,0,0.000,0.000,0.00,300
96.950000,0,0,0.000,0.000,0.00,300
96.951000,0,0,0.000,0.000,0.00,300
96.952000,0,0,0.000,0.000,0.00,300
96.953000,0,0,0.000,0.000,0.00,300
96.955000,0,0,0.000,0.000,0.00,300
96.956000,0,0,0.000,0.000,0.00,300
96.958000,0,0,0.000,0.000,0.00,300
96.960000,0,0,0.000,0.000,0.00,300
96.961000,0,0,0.000,0.000,0.00,300
96.963000,0,0,0.000,0.000,0.00,300
96.964000,0,0,0.000,0.000,0.00,300
96.965000,0,0,0.000,0.000,0.00,300
96.966000,0,0,0.000,0.000,0.00,300
96.967000,0,0,0.000,0.000,0.00,300
96.968000,0,0,0.000,0.000,0.00,300
96.969000,0,0,0.000,0.000,0.00,300
96.970000,0,0,0.000,0.000,0.00,300
96.971000,0,0,0.000,0.000,0.00,300
96.972000,0,0,0.000,0.000,0.00,300
96.973000,0,0,0.000,0.000,0.00,300
96.974000,0,0,0.000,0.000,0.00,300
96.976000,0,0,0.000,0.000,0.00,300
96.977000,0,0,0.000,0.000,0.00,300
96.978000,0,0,0.000,0.000,0.00,300
96.980000,0,0,0.000,0.000,0.00,300
96.981000,0,0,0.000,0.000,0.00,300
96.982000,0,0,0.000,0.000,0.00,300
96.984000,0,0,0.000,0.000,0.00,300
96.985000,0,0,0.000,0.000,0.00,300
96.986000,0,0,0.000,0.000,0.00,300
96.987000,0,0,0.000,0.000,0.00,300
96.988000,0,0,0.000,0.000,0.00,300
96.989000,0,0,0.000,0.000,0.00,300
96.990000,0,0,0.000,0.000,0.00,300
96.991000,0,0,0.000,0.000,0.00,300
96.992000,0,0,0.000,0.000,0.00,300
96.993000,0,0,0.000,0.000,0.00,300
96.994000,0,0,0.000,0.000,0.00,300
96.995000,0,0,0.000,0.000,0.00,300
96.996000,0,0,0.000,0.000,0.00,300
96.997000,0,0,0.000,0.000,0.00,300
96.998000,0,0,0.000,0.000,0.00,300
96.999000,0,0,0.000,0.000,0.00,300
97.000000,0,0,0.000,0.000,0.00,300
97.001000,0,0,0.000,0.000,0.00,300
97.002000,0,0,0.000,0.000,0.00,300
97.003000,0,0,0.000,0.000,0.00,300
97.004000,0,0,0.000,0.000,0.00,300
97.005000,0,0,0.000,0.000,0.00,300
97.006000,0,0,0.000,0.000,0.00,300
97.007000,0,0,0.000,0.000,0.00,300
97.008000,0,0,0.000,0.000,0.00,300
97.009000,0,0,0.000,0.000,0.00,300
97.010000,0,0,0.000,0.000,0.00,300
97.011000,0,0,0.000,0.000,0.00,300
97.012000,0,0,0.000,0.000,0.00,300
97.013000,0,0,0.000,0.000,0.00,300
97.014000,0,0,0.000,0.000,0.00,300
97.015000,0,0,0.000,0.000,0.00,300
97.016000,0,0,0.000,0.000,0.00,300
97.017000,0,0,0.000,0.000,0.00,300
97.019000,0,0,0.000,0.000,0.00,300
97.020000,0,0,0.000,0.000,0.00,300
97.021000,0,0,0.000,0.000,0.00,300
97.022000,0,0,0.000,0.000,0.00,300
97.023000,0,0,0.000,0.000,0.00,300
97.025000,0,0,0.000,0.000,0.00,300
97.026000,0,0,0.000,0.000,0.00,300
97.027000,0,0,0.000,0.000,0.00,300
97.028000,0,0,0.000,0.000,0.00,300
97.029000,0,0,0.000,0.000,0.00,300
97.030000,0,0,0.000,0.000,0.00,300
97.031000,0,0,0.000,0.000,0.00,300
97.032000,0,0,0.000,0.000,0.00,300
97.033000,0,0,0.000,0.000,0.00,300
97.034000,0,0,0.000,0.000,0.00,300
97.035000,0,0,0.000,0.000,0.00,300
97.036000,0,0,0.000,0.000,0.00,300
97.037000,0,0,0.000,0.000,0.00,300
97.038000,0,0,0.000,0.000,0.00,300
97.039000,0,0,0.000,0.000,0.00,300
97.040000,0,0,0.000,0.000,0.00,300
97.041000,0,0,0.000,0.000,0.00,300
97.042000,0,0,0.000,0.000,0.00,300
97.043000,0,0,0.000,0.000,0.00,300
97.044000,0,0,0.000,0.000,0.00,300
97.045000,0,0,0.000,0.000,0.00,300
97.046000,0,0,0.000,0.000,0.00,300
97.047000,0,0,0.000,0.000,0.00,300
97.048000,0,0,0.000,0.000,0.00,300
97.049000,0,0,0.000,0.000,0.00,300
97.050000,0,0,0.000,0.000,0.00,300
97.051000,0,0,0.000,0.000,0.00,300
97.052000,0,0,0.000,0.000,0.00,300
97.053000,0,0,0.000,0.000,0.00,300
